#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B027D8
#Date Time: 2023-04-14 15:01:35.010
#Start: 10 Hz
#Stop: 8000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47316 V
#Offset: 0.000111453 V
#Relative: no
#Channel: Channel 2
#Range: 5.4696 V
#Offset: 0.000228279 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.1737118233135778,-70.82455362450112,-63.07408026795972
49.95,-0.008396200656563791,-56.09990126935975,-133.1237235318977
89.90000000000001,-0.001767303845311684,-51.03200556744575,-178.3662289295236
129.85,0.0005194183597508042,-47.83805131208419,139.2172771220079
169.8,0.0006524216970052542,-45.38871608284609,97.44039388249868
209.75,0.001103100336587253,-43.48182392040884,56.13794293288722
249.7,0.001397703473747232,-41.98720875315401,15.19511716763409
289.65,0.001675189686122481,-40.63571480540899,-25.94047173515281
329.6,0.001878788623441127,-39.52709001006693,-66.98719939781576
369.5500000000001,0.002146883020497422,-38.55169031689628,-107.7768891108681
409.5000000000001,0.001616900820510564,-37.66535971022155,-149.1572159368672
449.45,0.001288928713723874,-36.84127603656245,169.7018754365735
489.4000000000001,0.001782617179218963,-36.04548202404932,128.3755432652482
529.35,0.00174071651006245,-35.37861325703228,87.39657406786637
569.3000000000001,0.001557881921720855,-34.6627898959669,46.33640148102288
609.2500000000001,0.001869134258971125,-34.02477359439204,5.403874190630368
649.2,0.0003651674730874993,-33.56576844455061,-35.4882788752447
689.1500000000001,0.001390369866576744,-32.93001286788127,-76.73727501647433
729.1000000000001,0.001452010603894961,-32.47287884198495,-117.6871770508896
769.0500000000002,0.001508344805767996,-31.95479202314189,-158.8229361127113
809.0000000000001,-0.0003303322851405576,-31.49245836904895,160.3189848446026
848.9500000000002,0.0007729816786748087,-31.0495604930574,119.218472784569
888.9000000000001,0.001352803190774848,-30.60546728900691,78.20550367672521
928.8500000000001,0.001344302119180038,-30.21370713936302,37.2010208206707
968.8000000000002,0.0008447397458438178,-29.79021128117474,-3.894811156570313
